9,0
1,1
2,1
3,1
5,1
6,1
7,1
9,1
11,1
12,1
13,1
15,1
16,1
17,1
1,3
2,3
3,3
5,3
7,3
8,3
9,3
10,3
11,3
13,3
15,3
16,3
17,3
5,4
9,4
13,4
1,5
2,5
3,5
5,5
6,5
7,5
9,5
11,5
12,5
13,5
15,5
16,5
17,5
1,6
2,6
3,6
5,6
13,6
15,6
16,6
17,6
1,7
2,7
3,7
5,7
7,7
8,7
10,7
11,7
13,7
15,7
16,7
17,7
7,8
11,8
1,9
2,9
3,9
5,9
7,9
8,9
9,9
10,9
11,9
13,9
15,9
16,9
17,9
1,10
2,10
3,10
5,10
13,10
15,10
16,10
17,10
1,11
2,11
3,11
5,11
7,11
8,11
9,11
10,11
11,11
13,11
15,11
16,11
17,11
9,12
1,13
2,13
3,13
5,13
6,13
7,13
9,13
11,13
12,13
13,13
15,13
16,13
17,13
3,14
15,14
0,15
1,15
3,15
5,15
7,15
8,15
9,15
10,15
11,15
13,15
15,15
17,15
18,15
5,16
9,16
13,16
1,17
2,17
3,17
4,17
5,17
6,17
7,17
9,17
11,17
12,17
13,17
14,17
15,17
16,17
17,17
